#Name, RA, DEC, d(Mpc)
NGC 3109, 100306.6, -260932, 1.34
U5373, 095959.8, 051957, 1.44
DDO 75, 101101.3, -044248, 1.43
Antlia, 100403.9, -272001, 1.25
NGC 55, 001508.4, -391313, 2.17
NGC 300, 005452.6, -374057, 2.04
UGCA 438, 232622.2, -322329, 2.22
ESO 410-005, 001531.5, -321047,1.94
ESO 294-010, 002633.3, -415119,1.96
IC 5152,220241.2, -511747,1.97
NGC 4214, 121538.6, 361941,2.92
UGC 7577,  122740.9, 432944,2.74
NGC 4163, 121209.1, 361009,2.94
UGC 6817, 115053.0, 385249,2.64
NGC 3741, 113606.2, 451701,3.19
UGCA 276, 121457.9, 361308,3.18
UGC 8508, 133044.4, 545436,2.69
UGC 9240, 142443.4, +443133,2.8
UGC 8760, 135050.6, +380109,3.24
UGC 8651, 133953.8, +404421,3.02
UGC 8833, 135448.7, +355015,3.2
NGC 784, 020117.0, 285015,5.19
UGC 1281, 014931.5, 323517,5.13
KK 16, 015520.3, 275714,5.47
KK 17, 020010.2, 284953,4.91
UGC 685, 010722.4, 164102,4.7
NGC 1313, 031815.4, -662951,4.15
ESO 115-021, 023748.1, -612018,4.99
KK 27, 032102.4, -661909,4.15
ESO 154-023, 025651.2, -543423,5.76
IC 1959, 033309.0, -502442,6.06
NGC 1311, 032006.7, -521113,5.45
UGC 3974, 074152.0, +164754,8.04
UGC 4115, 075702.4, +142312,7.72
KK 65, 074232.0, +163339,8.01
UGC 3755, 071351.6, +103119,7.41
UGC 9128, 141556.5, +230319,2.24
U8091, 125840.4, +141303,2.13
KKH 86, 135433.6, +041435,2.6
KK 230, 140710.5, +350337,2.14
KKR 25, 161347.9, +542216,2.14
